Pregunta,Respuesta,Etiqueta
"¿Qué instrucción recibe la señora Harker al salir de la habitación?","La señora Helsing le pide a Mina buscar el diario de Jonathan Harker en lo relativo a su viaje al castillo.","Instrucción"
"Qué conjetura hace Quincey sobre los viajes de Drácula?","Quincey cree que la señora Harker fue visitada por el Conde durante su viaje marítimo para Transilvania y que éste intentó liberarse del cautiverio de sus hombres.","Conjetura"
"Qué creencia tiene Quincey sobre el intelecto de Drácula?","Quincey cree que la mente de Drácula aún no ha alcanzado las alturas del cerebro humano, pero que todavía posee un gran conocimiento y que es capaz de hacer trabajos egoístas.","Inteligencia"
"¿Qué es la lección que el profesor imparte a los presentes?","El Profesor van Helsing les enseña a sus compañeros que nunca deben temer el pensamiento y que pueden sobrevivir si lo hacen. El desea compartir una teoría completa, pero solo está parcialmente desarrollada aún, como un pato en su estado actual.","Lección"
"¿Qué revela el profesor sobre los viajes del Conde Drácula al este?","El Profesor van Helsing cree que las tropas del conde cruzaron El Gran Río varias veces y penetraron en territorio turco. Se refiere a su autodeterminación para vencer, ya que había sido rechazado. No obstante, hasta el momento ningún pensamiento humano ha podido comprender las intenciones del Conde.","Viajes del Conde"
"¿Qué tecnología utiliza el profesor para explicar la naturaleza del criminal?","El Profesor van Helsing explica que los criminales tienen una peculiaridad consistente en todos los países y tiempos. Aunque no es estudioso de la filosofía, su mente trabaja bien y llega a esta conclusión. El criminal solo comete el crimen que le predestina para él, por lo que carece del cerebro completo de un hombre.","Teoría del criminal"
"Qué información proporciona Drácula sobre el comportamiento de los seres vivos?","El Conde Drácula describe que la repetición es una característica principal de su desarrollo y de las acciones humanas; cada acto repetido es una base para un conocimiento superior y para crear algo más.","Seres vivos"
"Qué se deduce sobre el pasado del Conde Drácula desde las palabras de la señora Harker?","De las palabras de la señora Harker, sabemos que el conde había tenido problemas en el pasado y regresó a su país para prepararse antes de volver a invadir. Estos eventos sugieren que el conde posee una naturaleza criminal y puede ser un hombre peligroso.","Pasado"
"Qué se espera de la señora Harker a continuación?","Se espera que la señora Harker continue su narrativa para contar más sobre las investigaciones sobre Drácula.","Continúe"
"Qué razones hay para temer que el Conde Drácula utilizaría los conocimientos de la señora Harker para sus fines?","Las palabras de la señora Harker sugieren que el conde tiene poderes hipnóticos y que el poder que ejerció sobre ella durante el ataque, pudiera utilizarse en las mentes vulnerables del Dr. Seward y Mina para controlar sus pensamientos o acciones.","Poderes malignos"
"Qué ventajas hay para la señora Harker ahora que el Conde Drácula la deja solo?","La liberación del poder mental sobre ella por parte del conde y su posible auto-revelación es un punto clave para continuar su investigación. Su libertad espiritual y física le permite seguir avanzando en el camino, siempre que no se deje dominar por sus sueños o trances.","Libertad"
"Qué ocurrió en la reunión de los investigadores?","La reunión fue el momento en que se intercambiaron notas y se acordaron de sus objetivos en la caza del Conde Drácula. Se dividieron en dos grupos: Drácula Harker y Mina, que seguirían la pista hacia Transilvania para investigar el castillo y enfrentarse al conde; y Seward y Van Helsing, que regresaban a Londres para informar al Consejo.","Reunión"
"Desde dónde sale la señora Harker para ayudar al Dr. Van Helsing y qué trabajo realiza?","La señora Harker sale de Londres para ayudar al Dr. Van Helsing en sus esfuerzos contra el Conde Drácula, utilizando hipnosis.","Trabajo"
"¿Qué esperan Dr. Van Helsing y Jonathan Harker al regreso de la señora Harker desde el traspié?","Esperan una taza de té para todos.","Esperanzas"
"¿Cómo puede el Conde Drácula llegar a la isla en el caso de no hacerlo durante la noche?","Si el día ha comenzado antes que el Conde Drácula llegue a la orilla, entonces no puede desembarcar y depende de ser llevado a tierra o transformarse para viajar a través del agua.","Llegada al isla"
"Qué información obtienen los personajes sobre el Conde Drácula durante el trance hipnótico de la señora Harker?","El Conde Drácula está en un barco y no ha llegado a tierra todavía.","Información sobre Conde Drácula"
"¿Cómo se ve afectada la señora Harker durante el proceso hipnótico?","La señora Harker experimenta dificultades para entrar en trance y tiene menos poderes de lectura que antes.","Condición señora Harker"
"¿Qué sucede cuando la señora Harker sale del estado hipnótico?","La señora Harker se desmayó, agotada y cansada tras salir del estado hipnótico.","Salida de estado hipnótico"Preguntra,Respuesta,Etiqueta
"Que desesperación aparece en los ojos de Van Helsing?","La desesperación aparece en los ojos de Van Helsing por el retraso en la respuesta de Lucy a sus pases.","Emociones"
"¿Qué prueba le da Van Helsing a Mina Harker?","Van Helsing le prueba su amor y respeto hacia Mina Harker al 
entender que ella está mal a pesar de haber dado instrucciones claramente.","Demostración de Amor"
"Qué se le pide a los agentes Mackenzie y Steinkoff?","Se les pide a los agentes Mackenzie y Steinkoff que demuestren todos los documentos relacionados con los viajes del Conde Drácula al Reino Unido.","Solicitud"
"Cuál es el nombre del capitán del Czarina Catherine?","El capitán se llama Donelson.","Nombres"
"Qué significa la frase 'El diablo que habría logrado sus fines?'?","Significa que el Conde Drácula probablemente conseguiría lo que quería si se detenían o si no.","Deseos del Conde Drácula"
"¿Qué superstición rumanas están hablando?","Están hablando de un anciano maloquete que se escondió a bordo del barco con una caja para maldicirles.","Supersticiones"
"¿Qué destruye el capitán de la barcilla Jonathan Harker?","El capitán del barco que transporta a Jonathan Harka obliga a abandonar su carga antes de cruzar el mar negro debido a las protestas de los rumanos, pero se le ordena recogerla en el puerto de Varna.","Destruye"
"¿Qué información le muestra Dr. Van Helsing a Seward sobre Immanuel Hildesheim?","Dr. Van Helsing revela que Immanuel Hildesheim es judío e introduce una orden enviada de Londres con los nombres de sus padres y la dirección de su casa, para recibir una caja marcada para un conde Drácula.","Detalles"
"¿Qué es lo que Dr. Van Helsing descubre sobre la carga de Immanuel Hildesheim?","Dr. Van Helsing descubre que un tal Petrof Skinsky recibió la caja desde Galatz, como parte de un trato con Immanuel Hildesheim para que este la enviara a Londres y recibirá el pago en oro.",Detalles
"¿Qué descubre Arthur que proviene del hombre que había intercambiado la caja?","Arthur se entera de que Skinsky murió brutalmente en un cementerio y que su garganta estaba destruida, sugiriendo que lo hubiera matado algún animal salvaje.","Detalles"
"¿Qué revela el diario de Mina sobre la actitud de sus compañeros hacia ella?","El diario de Mina describe que todos estaban cansados, desanimados y tristes, pero pedían descansar antes de hacer nada. Después de escribirse todo lo ocurrido hasta ese momento, se muestra su agradecimiento por el inventor de la máquina de escribir portátil y por Quincey Morrison, quien la ayudó a obtenerla.",Detalles
"¿Qué nuevo descubre Mina en los documentos?","Mina revela que tiene certeza de que la caja está siendo transportada por el agua a un lugar desconocido y planea encontrar un mapa para verificarla.",Nuevo descubrimiento
"Qué está buscando el Conde Drácula al regresar a su hogar?","El Conde Drácula busca una forma segura y rápida de regresar a su hogar sin ser descubierto.","Motivación/Objetivo"
"Qué modos de transporte puede emplear el conde Drácula para regresar a su hogar?","El Conde Drácula está buscando una forma segura y rápida para regresar a Transilvania sin ser descubierto.","Modo de Transporte"
"Qué rumbo está tomando el Conde Drácula?","El Conde Drácula se dirige hacia Galatz, como se deduce de la carta que envió a Renfield.", "Dirección/Rumbo"
"¿Dónde se encuentra el Conde Drácula?","El Conde Drácula está en algún lugar sobre el agua.", "Localización"
"¿Qué es el origen del apodo 'El Trauko'?","Es una referencia al Conde Drácula, que proviene de un apócope de su nombre Drácula.", "Nombre/Apodo"
"¿Qué río usa el Conde Drácula para regresar a Transilvania?","El Conde Drácula viaja por el Pruth o Sereth.", "Río"
"Desde dónde nace el río Sereth?","El río Sereth nace donde recibe el Bistritza.","Curso agua"
"Cuáles son las ventajas que posee Drácula?","Drácula dispone de cierta ventaja y no puede apresurarse.","Ventajas"
"¿Qué armamento lleva Morris?","El señor Morris lleva Winchesters para la lucha contra Drácula.","Armamento"
"¿Cuál es el plan de los hombres para localizar a Drácula?","Los hombres planearon seguirlo tanto por agua como por tierra para vencerla.","Plan"
"Cuál es la esperanza de Jonathan?","Jonathan quiere estar con Mina.","Esperanza"
"¿Qué precauciones toma Drácula al cruzar el Danubio?","Drácula da instrucciones a la señora Harker para que no escuche y comprenda, para evitar ser descubierta.","Instrucciones"
"¿Qué le permite el doctor van Helsing a los otros?","El doctor van Helsing les permite ir primero en la lancha de vapor.","Permiso"
"¿Qué razones da el doctor para que Jonathan lo escoja como compañero de búsqueda?","El doctor van Helsing le dice a Jonathan que lo envía porque es joven y valeroso, y ha sufrido mucho al lado de la señora Mina.","Motivos"
"¿Qué papel juega la señora Mina?","La señora Mina ayuda a los hombres en la búsqueda de Drácula y usa su poder hipnótico para obtener información.","Señora Mina"
"Qué recomendación le ofrece el doctor van Helsing a Jonathan?","El doctor van Helsing le pide que siga con los otros y ayude en la búsqueda de Drácula, mientras él cuida de la señora Mina.","Recomendación"
"¿Qué se opone Jonathan al plan del doctor van Helsing?","Jonathan no quiere que Mina vaya a la guarida de Drácula.","Oposición"
"¿Cuál es el lugar donde se encuentra Drácula?","El lugar donde está Drácula es una guarida infernal donde la luz de la luna está viva y adoptan formas, donde cada partícula de polvo puede convertirse en un monstruo.","Guarida"
"¿Qué peligro corren los hombres y Mina al entrar en Transilvania?","Los hombres y Mina están en un gran peligro a manos del Conde Drácula.","Peligro"
"¿Qué tan rápidamente se puede poner la expedición a marchar?","La expedición se pone en marcha dentro de una hora.","Tiempo"
"¿Cuál es el objetivo final de la expedición?","El objetivo final de la expedición es capturar al Conde Drácula y proteger a Mina.","Objetivos"
